tf,pwm_correlation,mean_site_score,self_score,norm_score,n_sites,corr_rank,score_rank,combined_rank,denovo_self_score
HprR,0.19950372568340108,-24.63743753114298,21.985150538413883,-1.1206399286688917,4,52.5,9.5,31.0,8.34649404045083
CusR,0.19950372568340108,-24.63743753114298,21.985150538413883,-1.1206399286688917,4,52.5,9.5,31.0,8.34649404045083
PaaX,0.22836265897434524,-24.729841823328115,16.777064580576962,-1.4740267407659737,3,38.0,24.0,31.0,8.34649404045083
GlrR,0.26037949956918155,-27.40922720444355,14.688163527719077,-1.8660758475841892,9,27.0,38.0,32.5,8.34649404045083
GalS,0.29686029815238196,-23.962906791640645,11.781837077839592,-2.0338854317305386,18,19.0,47.0,33.0,8.34649404045083
PspF,0.18981026491064817,-20.747608539644183,15.930283161059549,-1.3024004865375052,5,57.0,17.0,37.0,8.34649404045083
KdpE,0.2446631864057548,-25.797066695991187,13.601197712678422,-1.8966761046304272,3,34.0,41.0,37.5,8.34649404045083
ChbR,0.16662968570230424,-26.196948920686644,27.459265481648366,-0.9540294855372095,4,70.0,6.0,38.0,8.34649404045083
RhaR,0.17615444853814394,-23.208262414524533,18.131299509543926,-1.2800109778291513,4,67.0,16.0,41.5,8.34649404045083
CRP,0.3885002299857221,-21.247787402452264,7.782366670807672,-2.7302475328173044,438,3.0,80.0,41.5,8.34649404045083
Cra,0.27877764516641923,-24.081322645737743,10.465302991287075,-2.3010631097624916,78,23.0,61.0,42.0,8.34649404045083
XapR,0.1870467142930822,-28.906349203423822,18.131299509543926,-1.594278953265768,4,59.0,27.0,43.0,8.34649404045083
LeuO,0.2567775844204314,-25.722840864225144,11.29374512942392,-2.2776183249619018,18,28.0,60.0,44.0,8.34649404045083
RstA,0.16473272516670498,-28.64783244226595,21.62469861300764,-1.3247737207784145,9,72.0,18.0,45.0,8.34649404045083
RbsR,0.18770530881159322,-26.3639128473695,15.714097944976643,-1.6777235918780375,4,58.0,32.0,45.0,8.34649404045083
DeoR,0.29946705705694504,-21.11788625950021,8.437833252980397,-2.5027617430151263,7,18.0,72.0,45.0,8.34649404045083
BasR,0.18639991849169518,-21.487554751947656,13.139214192676912,-1.6353759392950347,12,61.0,30.0,45.5,8.34649404045083
DpiA,0.15265217587384736,-25.89419481874015,20.472441443780767,-1.2648317930154067,9,80.0,15.0,47.5,8.34649404045083
UlaR,0.19418597985419073,-33.5413829775805,17.907344020653575,-1.873051801478504,4,56.0,40.0,48.0,8.34649404045083
CspA,0.1643618963302943,-27.980712036995588,17.999457001913413,-1.5545308969054525,3,73.0,25.0,49.0,8.34649404045083
AraC,0.348007774314694,-22.830267691827157,6.973265092357041,-3.2739710005933924,27,9.0,90.0,49.5,8.34649404045083
LacI,0.130675829444079,-20.394380803009824,19.473388190245817,-1.0472949341822975,3,91.0,8.0,49.5,8.34649404045083
FNR,0.34331788700818855,-24.171754599857465,7.126636233063428,-3.3917480574797194,152,10.0,91.0,50.5,8.34649404045083
SdiA,0.21376928553519317,-32.33797805695201,13.618406197925903,-2.3745787566446004,8,41.0,63.0,52.0,8.34649404045083
MetR,0.17985367738199642,-26.50199573595648,13.922907425941679,-1.9034814299330165,11,64.0,42.0,53.0,8.34649404045083
PlaR,0.18452017767612158,-32.79380412676989,16.27786499527117,-2.014625636488367,6,62.0,46.0,54.0,8.34649404045083
GalR,0.24383018658952968,-28.2356357877792,11.09226084763235,-2.5455257657239563,18,35.0,74.0,54.5,8.34649404045083
MazEF,0.151535758164114,-30.790650889709227,18.979296416098876,-1.6223283632153804,4,82.5,28.5,55.5,8.34649404045083
MazE,0.151535758164114,-30.790650889709227,18.979296416098876,-1.6223283632153804,4,82.5,28.5,55.5,8.34649404045083
ArgR,0.33881274906821884,-27.9928775529186,7.599846028015177,-3.683347984910346,68,11.0,102.0,56.5,8.34649404045083
ArgP,0.36088456356681575,-23.729560857646096,5.417868689070346,-4.379870059515573,19,7.0,111.0,59.0,8.34649404045083
Rob,0.31162964990707276,-28.816447950707374,7.315958790433737,-3.938847767757717,19,14.0,107.0,60.5,8.34649404045083
PhoB,0.26922761937683065,-24.631952163506234,6.885453669454231,-3.577389863616447,40,24.0,97.0,60.5,8.34649404045083
NagC,0.17910385388665517,-30.37016751394242,13.427944391198562,-2.2617138282050644,29,65.0,57.0,61.0,8.34649404045083
GadW,0.16473679388317258,-25.98603295085841,11.878984156567286,-2.1875635667459035,52,71.0,52.0,61.5,8.34649404045083
NadR,0.10833605268677213,-32.04569957793339,23.12879831637404,-1.3855324059463403,3,101.0,23.0,62.0,8.34649404045083
PepA,0.1865037868079249,-26.371378988922697,10.904874103009561,-2.4183111826705677,3,60.0,67.0,63.5,8.34649404045083
Ada,0.15690626451165643,-37.47444604825018,17.552230767247636,-2.1350246897492533,8,78.0,51.0,64.5,8.34649404045083
Fur,0.37472583999374764,-24.36188455987864,4.417033099697145,-5.515440797024822,217,4.0,125.0,64.5,8.34649404045083
CytR,0.3098619160679741,-25.18404673314763,5.288000864480108,-4.762489148273543,31,15.0,114.0,64.5,8.34649404045083
ModE,0.21233803714789348,-30.423937372748,9.60735744166826,-3.16673315815187,8,42.0,88.0,65.0,8.34649404045083
SgrR,0.12722177301557194,-27.986238799057954,14.98604515049478,-1.867486619585819,4,94.0,39.0,66.5,8.34649404045083
RacR,0.1740097481373921,-29.27738316713795,12.133456243509873,-2.4129466970961615,4,68.0,66.0,67.0,8.34649404045083
CaiF,0.10955499803294298,-30.04147521499081,16.41088018825643,-1.830582812766398,8,100.0,35.0,67.5,8.34649404045083
GlpR,0.24481450910564964,-24.981411889111342,6.675590905458543,-3.7422023372768947,23,32.0,104.0,68.0,8.34649404045083
CynR,0.13796611410827594,-28.475198367183495,12.870421837676076,-2.212452608493916,4,88.0,54.0,71.0,8.34649404045083
GntR,0.14039144151336047,-32.02352599354151,14.279678593372395,-2.242594312200034,17,87.0,56.0,71.5,8.34649404045083
AgaR,0.18229946315902248,-32.0630926181911,11.143567517730594,-2.877273599067384,11,63.0,83.0,73.0,8.34649404045083
PrpR,0.0868902600057655,-32.583585957765855,16.622066907568133,-1.9602607869981765,4,104.0,44.0,74.0,8.34649404045083
CreB,0.06990535773878294,-39.02231387326011,20.923785102815984,-1.8649739366711606,3,111.0,37.0,74.0,8.34649404045083
EvgA,0.05854997616327489,-40.124457491792946,22.832617468817592,-1.7573306059452336,10,116.0,34.0,75.0,8.34649404045083
HU,0.056358292924991865,-35.48441747658675,20.93555224069711,-1.6949358234557463,3,117.0,33.0,75.0,8.34649404045083
UxuR,0.11858265174320119,-35.094113279494735,15.709943707176752,-2.2338789962348966,11,96.0,55.0,75.5,8.34649404045083
GadX,0.23985233137135525,-27.013903060927404,5.520877741149731,-4.8930449699293135,67,37.0,115.0,76.0,8.34649404045083
OxyR,0.2959450572422003,-27.634218979830212,3.892360912627115,-7.099603454084308,59,20.0,135.0,77.5,8.34649404045083
FliZ,0.1566120791344936,-29.066759439959412,10.992467034302555,-2.644243494136039,7,79.0,76.0,77.5,8.34649404045083
OmpR,0.21082412150547009,-30.648875451775616,6.816967857053714,-4.495968896209821,58,43.0,112.0,77.5,8.34649404045083
XylR,0.162147910687956,-24.820673009484914,8.756487257352031,-2.8345468085555927,8,74.0,82.0,78.0,8.34649404045083
FeaR,0.13051974501490735,-32.20624311059689,13.538590022394898,-2.378847653804631,4,92.0,64.0,78.0,8.34649404045083
MprA,0.14610171728176233,-27.54330078390304,11.156412870005525,-2.4688312547086113,3,86.0,71.0,78.5,8.34649404045083
ArcA,0.24466768630964442,-25.963584819134063,4.634263995972667,-5.602526062757172,229,33.0,127.0,80.0,8.34649404045083
MelR,0.1270836632401946,-28.141862492037408,11.824980088584033,-2.379865528839738,11,95.0,65.0,80.0,8.34649404045083
RutR,0.16188597352081463,-29.74421808425184,9.61544695584563,-3.0933786251266344,6,75.0,85.0,80.0,8.34649404045083
LldR,0.16045867647999446,-29.15246637742382,9.48876387489547,-3.072314451258802,16,77.0,84.0,80.5,8.34649404045083
PdhR,0.1288601228334845,-25.27536457320179,10.258566797455835,-2.46382999421227,19,93.0,69.0,81.0,8.34649404045083
DcuR,0.1616729113874131,-30.79397708105469,9.937735579825082,-3.0986915312549206,11,76.0,86.0,81.0,8.34649404045083
Fis,0.2848449653434891,-28.43459411210754,2.9936227669254794,-9.498389184590058,316,22.0,140.0,81.0,8.34649404045083
PurR,0.03553380656297424,-34.520037029174894,17.64227784586529,-1.9566655355257958,23,122.0,43.0,82.5,8.34649404045083
HipAB,0.05616734680267578,-37.48505132809095,18.38993442945067,-2.0383461111237184,5,118.0,48.0,83.0,8.34649404045083
HipB,0.06290111935421962,-35.35600865916905,16.027519064963737,-2.2059564250625363,8,114.0,53.0,83.5,8.34649404045083
LexA,0.13136127161418903,-33.02744708940467,12.397266051310007,-2.6640911756438985,49,90.0,78.0,84.0,8.34649404045083
NsrR,0.20397046233472504,-29.075541500395563,5.614248233051378,-5.178884205587188,45,49.0,119.0,84.0,8.34649404045083
MarA,0.24095091989846346,-29.33838256138057,4.355936743907653,-6.735263684077629,37,36.0,133.0,84.5,8.34649404045083
CysB,0.20915441809294166,-30.964631548929272,5.664509916341026,-5.466427282544292,17,45.0,124.0,84.5,8.34649404045083
MetJ,0.2664085854488161,-30.27926701442051,2.439341609546302,-12.412885057149584,33,25.0,144.0,84.5,8.34649404045083
IdnR,0.001049314979634675,-38.27567957367116,20.580016759528856,-1.8598468612008758,4,134.0,36.0,85.0,8.34649404045083
CpxR,0.20601849489319016,-28.65294740004788,5.252883931878878,-5.454707884588485,155,47.0,123.0,85.0,8.34649404045083
AscG,0.19629866324477982,-30.885026425494615,6.1690947419297055,-5.006411429472344,9,54.0,116.0,85.0,8.34649404045083
PhoP,0.1996020637241506,-30.308605021672488,5.618465736509286,-5.394462909104259,42,51.0,121.0,86.0,8.34649404045083
MlrA,0.05906581380158241,-35.4132537060378,15.54934183135276,-2.2774760559082083,5,115.0,59.0,87.0,8.34649404045083
NrdR,0.022750318282954478,-38.10208329879236,17.924301020134497,-2.1257221275179443,6,127.0,49.0,88.0,8.34649404045083
BaeR,0.024002497154189638,-40.89484795202952,19.18379578032817,-2.131739120886844,4,126.0,50.0,88.0,8.34649404045083
ExuR,0.08645028302907912,-35.824236101860514,13.783859754237314,-2.598998882794621,14,105.0,75.0,90.0,8.34649404045083
SoxS,0.2157471918224105,-32.47965110862436,2.664111952949034,-12.19154888467471,44,39.0,142.0,90.5,8.34649404045083
H-NS,0.2085615578190103,-30.39554272069654,3.560334322301886,-8.537272056250243,74,46.0,138.0,92.0,8.34649404045083
TyrR,0.14835963875311856,-30.15613922969204,8.242177567868426,-3.6587587420166385,22,85.0,99.0,92.0,8.34649404045083
SutR,0.019238698478283748,-40.93829824781324,18.011224139794532,-2.2729325852629283,3,128.0,58.0,93.0,8.34649404045083
YidZ,0.11559224583794951,-34.56490682970865,10.659525055177458,-3.2426310413258106,4,97.0,89.0,93.0,8.34649404045083
NanR,0.05533365663434947,-33.8373305070242,13.727370064395963,-2.4649536180849747,12,119.0,70.0,94.5,8.34649404045083
RelBE,0.03305523302659692,-37.61994113063236,15.525531316003168,-2.4231016874672147,4,124.0,68.0,96.0,8.34649404045083
Lrp,0.20214221293986617,-29.210847895945353,2.376103395730047,-12.293592925475556,219,50.0,143.0,96.5,8.34649404045083
IHF,0.19437111592146866,-30.20049873106179,3.2370751224283594,-9.329563753962637,140,55.0,139.0,97.0,8.34649404045083
QseB,0.10468942421110336,-35.8750692279698,10.352520411514389,-3.4653463892781566,7,102.0,93.0,97.5,8.34649404045083
ZraR,0.1499725957866443,-35.49715133319686,7.533641567722787,-4.71181844982926,21,84.0,113.0,98.5,8.34649404045083
PutA,0.05243922802409907,-33.9464874919767,12.571950333874005,-2.7001767100933334,5,120.0,79.0,99.5,8.34649404045083
CueR,-0.0075981644596891315,-45.486281551595035,19.221849423249854,-2.3663842406640097,3,137.0,62.0,99.5,8.34649404045083
MqsA,0.03409006978609405,-37.33265226297446,14.064764494729047,-2.6543389529888937,7,123.0,77.0,100.0,8.34649404045083
CsgD,0.17219105712468324,-33.70271510326593,5.0892969741078256,-6.622273228450017,36,69.0,131.0,100.0,8.34649404045083
YdeO,0.0724251941253986,-31.098789978997324,8.885681664044364,-3.4998766729217428,9,110.0,94.0,102.0,8.34649404045083
TrpR,0.00590956760883397,-42.98690471056072,17.16946884186205,-2.5036828516064182,10,132.0,73.0,102.5,8.34649404045083
GlaR,0.17685710999575155,-33.326091049089705,3.4248390850370463,-9.730702734236408,116,66.0,141.0,103.5,8.34649404045083
SlyA,0.07318259495829815,-33.69574794087679,9.262071865767814,-3.6380356824281086,23,109.0,98.0,103.5,8.34649404045083
Nac,0.1522610512910469,-27.638070796257104,4.499344510713641,-6.142688280580993,558,81.0,129.0,105.0,8.34649404045083
MurR,0.00983321832691117,-44.3576497053568,16.020793126470092,-2.768754914640749,10,131.0,81.0,106.0,8.34649404045083
SoxR,0.11370605941174017,-35.36136042015117,7.006303558045472,-5.047077981590599,7,98.0,117.0,107.5,8.34649404045083
SrsR,0.07819370039484069,-33.513044749602734,8.227866774551673,-4.073114656311243,21,106.0,110.0,108.0,8.34649404045083
YfeC,0.07630410058767685,-33.249350893052544,8.299044555637582,-4.006407083387219,6,107.0,109.0,108.0,8.34649404045083
FadR,0.13246238366915367,-35.60385933968172,5.379963914893969,-6.617862108910338,20,89.0,130.0,109.5,8.34649404045083
NtrC,0.11258992196293414,-36.282427871190336,6.68943710721361,-5.423838701176348,41,99.0,122.0,110.5,8.34649404045083
IclR,0.05116276556495348,-29.165932171815026,7.915778677363396,-3.6845310310684023,8,121.0,103.0,112.0,8.34649404045083
FhlA,0.07334586837665422,-37.52277922665457,7.372979350095663,-5.089228851043469,7,108.0,118.0,113.0,8.34649404045083
AsnC,0.016027349214191567,-37.10812420870129,10.4346057854309,-3.5562554994183615,8,130.0,96.0,113.0,8.34649404045083
NimR,-0.003989179166824372,-35.116445445102904,9.983268068066872,-3.5175300518503194,6,135.0,95.0,115.0,8.34649404045083
RcnR,-0.0841423444166249,-40.40535496487911,12.888072544497764,-3.1350967978628543,4,144.0,87.0,115.5,8.34649404045083
RhaS,0.10206902026596733,-36.09966984600052,6.091053732852316,-5.926670725509392,11,103.0,128.0,115.5,8.34649404045083
TorR,0.029176442636952817,-37.37520906908962,9.535880680374735,-3.919429187700456,17,125.0,106.0,115.5,8.34649404045083
YciT,-0.005405306397786812,-39.179829812755386,10.668350408588303,-3.672529333233617,4,136.0,101.0,118.5,8.34649404045083
RcdA,-0.15729254362254608,-44.53461997988269,13.100315913239786,-3.399507330573146,15,145.0,92.0,118.5,8.34649404045083
YiaU,0.0021363892422552964,-38.74296963547214,9.94718528280916,-3.8948675966082775,5,133.0,105.0,119.0,8.34649404045083
AcrR,-0.050135139560431134,-43.34792484561415,11.844868830515248,-3.6596373894778313,11,142.0,100.0,121.0,8.34649404045083
BtsR,0.01836313121948241,-40.10857830819216,7.673013992610815,-5.227226008817017,17,129.0,120.0,124.5,8.34649404045083
DnaA,0.0653099653303058,-39.530190128918946,5.400075047968947,-7.320303843515447,32,113.0,136.0,124.5,8.34649404045083
MraZ,-0.060928039959948596,-44.46060763274439,11.11165051053172,-4.0012604419662265,6,143.0,108.0,125.5,8.34649404045083
NarL,0.06916875456367348,-35.32011848945864,2.5013729741321282,-14.120292677149935,121,112.0,145.0,128.5,8.34649404045083
MalT,-0.03535343932960765,-35.64636684676971,6.429574131872116,-5.54412564746189,20,141.0,126.0,133.5,8.34649404045083
FlhDC,-0.009694561384572272,-36.53502052417031,5.402668765147164,-6.7624024555899505,21,138.0,134.0,136.0,8.34649404045083
IscR,-0.030577933841848252,-41.61459301105051,6.228906231312253,-6.680882881469143,15,140.0,132.0,136.0,8.34649404045083
NarP,-0.01687198289305245,-34.78671212279814,4.698050884718665,-7.404498796713499,24,139.0,137.0,138.0,8.34649404045083
