promoter,gc,rep,cv,cv_smooth,entropy,entropy_smooth,classification
hdeAp2,35,2,3.5095971933543333,1.674756402798498,5.170309589994243,6.320582225322283,1
mglBp,29,1,3.5071088500327927,1.2904589466715484,5.3330408003743965,6.650538601347374,1
ihfAp4,37,2,3.506439279721201,1.9664921801368656,4.7187397675462535,5.908327471009038,2
hdeAp2,18,1,3.49797943155195,1.7007869413348535,5.240129519735902,6.297262376705568,1
ihfAp4,3,2,3.497152369445406,1.9498489093987186,4.725302870128268,5.898761534146136,2
gyrAp,23,1,3.4960392782551515,2.2934101880878934,4.732446024582687,5.564628076699421,2
ihfAp4,40,3,3.491686543621584,2.044727559412099,4.7487100445147075,5.8557522610621655,2
ihfAp4,18,2,3.4890012354523163,2.0169551165761503,4.782970955093511,5.90447523862133,2
ihfAp4,34,1,3.485349996451353,2.025300307625164,4.8131800935210105,5.876151153042709,2
ihfAp4,23,2,3.484432583788608,2.0619768365237072,4.818478294610529,5.82165425522375,2
ompFp,36,2,3.4843588138132437,1.8120641704725144,5.127798120724605,6.156395094680935,1
ihfAp4,3,1,3.4837345352558953,1.926032348704478,4.794692202197211,5.9868716612165915,2
galEp1,23,1,3.4814062520797537,2.0405522892510497,4.686685233027948,5.719996022795265,2
ihfAp4,10,2,3.4771148517574257,1.9814413640803106,4.769772967498807,5.91032057353174,2
ihfAp4,1,2,3.4723385901716743,2.0441007585285202,4.782361160388557,5.873815883220939,2
araBp,38,3,3.471070246031618,1.2224103044309493,5.449207710934937,6.755998087971247,1
galEp1,21,2,3.470848882499738,2.047260386967214,4.863205954686988,5.814791889662307,2
araBp,35,2,3.4660409715544462,1.3026591770123999,5.463903119999504,6.730371696277846,1
araBp,5,2,3.463099709415592,1.199802930643803,5.413645717912708,6.754492020065571,1
galEp1,7,2,3.4630257917699687,1.9959917957206685,4.669323715725528,5.727139767435312,2
ihfAp4,16,2,3.459279092871598,1.9509797721406694,4.84495579155444,5.933635931610786,2
ihfAp4,31,3,3.457844440513163,2.045075871491838,4.812405359822485,5.878648063156264,2
hdeAp2,30,2,3.457681459395406,1.6395471885661357,5.383346585206839,6.426495135733706,1
galEp1,23,2,3.450295886954748,2.024963740057483,4.7498874555287145,5.757449427991217,2
araBp,18,2,3.44610831202723,1.2614082482373377,5.470369315435114,6.742252030933733,1
ihfAp4,18,1,3.4454725164948177,2.0023151407782938,4.750698902626938,5.892906351114603,2
ybeDp,11,2,3.4423417412053956,2.31633183643288,4.784276691037523,5.614797795427847,2
ldrDp,23,1,3.440247658213715,1.242899956522595,5.213072311398701,6.656358114270206,1
galEp2,36,2,3.4335557807756745,2.008929203686037,5.04109877980074,5.949067796639915,2
tabA_predicted,29,2,3.433455274680512,1.2784166176235223,5.422460262793288,6.706448820155864,1
ihfAp4,10,1,3.432073631629857,1.913640509057876,4.8768672756481966,6.011777680600938,2
hdeAp2,3,2,3.4319217019711195,1.4892119300636066,5.340375349612263,6.5104259801045785,1
cpxRp2,31,1,3.4287795180858196,1.3045383581777183,5.562077610546148,6.684483711164909,1
ihfAp4,38,3,3.422331321089322,1.9998961251619176,4.802897981443899,5.922202465836637,2
galEp1,40,1,3.4210831925251712,1.9338506788356467,4.941218013851817,5.954968628644755,2
ihfAp4,39,2,3.418789353524332,1.942614018705678,4.8361002724399995,5.957737646382052,2
hdeAp2,18,2,3.412988850430629,1.6818469301595127,5.268051862720308,6.3099458672110655,1
galEp1,36,1,3.412912950304247,2.0924401809437647,4.845467162189711,5.76200580201466,2
xylAp,23,2,3.412386665593789,1.2951255234985464,5.543372705853692,6.68810304863095,1
sulAp,28,1,3.410493688906351,1.948244589850533,4.680208530464272,5.8297453740554035,2
ompFp,24,1,3.4053566519338787,1.8120030410298498,5.150787824731968,6.131511860664872,2
galEp1,34,1,3.402232623213064,2.001492158687961,4.841821311674877,5.853856118342071,2
tmaR_predicted,25,3,3.4021182770258362,1.8460329463933904,4.938590621059003,6.0522485670575685,2
ihfAp4,23,1,3.3997952755512486,2.085561402797493,4.8453686682,5.806601014097016,2
mglBp,31,1,3.39233749136004,1.435346205643752,5.35274590395847,6.510197814046279,1
mglBp,25,3,3.387991508495741,1.3245161838882444,5.467006777063512,6.6460268449866815,1
ihfAp4,40,1,3.383734647365354,1.96646379622785,4.824323098173279,5.924643460589475,2
gyrAp,29,2,3.3833072295946587,2.190239776760987,4.833184590276762,5.67818010468752,2
mglBp,16,2,3.3772671470629634,1.315169380858252,5.391217237145176,6.637832423795751,1
mhpRp1,9,2,3.375763086470916,1.319407633810891,5.37977999836544,6.686232950002131,1
tmaR_predicted,7,2,3.3749651702584953,1.728748206102247,5.090799880180355,6.213263018086107,1
tolCp4,37,1,3.3749290250569217,1.4426101236221613,5.433111776963081,6.511992542326862,1
cpxRp2,41,1,3.3626164881207043,1.3568157349423555,5.411261755671381,6.647918852850099,1
galEp1,14,2,3.3602985470783917,1.9461411271891296,4.861382037090612,5.896818734767163,2
galEp1,10,2,3.351905257091166,1.9272632615618333,4.9474039305478055,5.938757798889695,2
ihfAp4,1,1,3.35142064534453,1.8887667521178517,4.8726517537420095,6.011840407825137,2
mglBp,13,2,3.351217697784648,1.284161712923288,5.521255166723996,6.645873147926766,1
galEp1,3,2,3.350945737019365,1.902413240121279,5.0135861068433965,6.024209507865979,2
ihfAp4,12,2,3.3470720930403415,1.9169623843599102,4.886279330110715,5.997104112207079,2
araBp,10,2,3.3408667796844655,1.2451855658135482,5.39743318912179,6.752077783346097,1
yahC_predicted,13,2,3.339345003960314,1.517478138840749,5.323039337353617,6.483648829126778,1
mhpRp1,29,1,3.327314345793519,1.3124498801290192,5.54255778248933,6.701928594544104,1
ldrDp,41,2,3.3256992287600915,1.1084158230295356,5.324533098337275,6.796558907124764,1
ompFp,8,2,3.3126585981915424,1.6669909170889872,5.136417337604045,6.243423452789168,1
tolCp4,29,2,3.3113801883328793,1.371460054145237,5.383029106027565,6.521895150221709,1
galEp1,34,2,3.307770312923538,1.91516893929673,4.967448977384495,5.9719489731798285,2
galEp1,11,1,3.3046582173883636,1.9105903439693548,4.921145159570886,5.958120765667362,2
tolCp4,29,1,3.303641358680644,1.3397196427003384,5.407216997335102,6.577247604517184,1
mglBp,29,2,3.3014346727336505,1.2952657950249207,5.364670729130202,6.562847684573452,1
hdeAp2,31,3,3.299388005431036,1.5448675436662136,5.303573298644767,6.422726898778036,1
cpxRp2,13,3,3.2987523864928607,1.274472525651876,5.466548545507635,6.710887640972602,1
ihfAp4,6,2,3.2979102103194857,1.9493204784810434,4.901816585513276,5.9685139638604845,2
gyrAp,13,2,3.2957103859179213,2.138623944361886,4.8564722948897,5.696265559342135,2
galEp1,37,2,3.292003002762507,1.8439473315706234,4.969626367252476,6.015012345552772,2
ompFp,31,1,3.2919004279992565,1.7283686425704015,5.194784756484083,6.183355958153972,2
ihfAp4,32,1,3.291149796194028,1.8864040176679524,5.00235063970894,6.074838431499916,2
cpxRp2,37,2,3.288358027235399,1.2857212439512509,5.493840885241529,6.720164889626141,1
galEp1,18,1,3.2875494139484913,1.8403193209008262,4.994842049952791,6.03072224787557,2
yqjE_yqjK_yqjD_yqjC_predicted,36,1,3.2861684337821826,1.9531346099930795,5.0354324049688675,5.98280840272027,2
ihfAp4,24,2,3.2847199010778314,1.818009441238967,5.006530619184421,6.134190156626364,2
xylAp,34,1,3.283257109023641,1.2314817837883658,5.420145111855442,6.696099641410454,1
pheMp,25,3,3.283052248752842,1.4124452721215666,5.264474754733553,6.459266303111638,1
ldrDp,8,1,3.2826298075517517,1.2914551908295269,5.5291641047448445,6.689420778395652,1
hdeAp2,5,2,3.2803832877813446,1.4327036123881118,5.4302449211458,6.533722315600189,1
galEp1,6,2,3.279386631062228,1.8294839958489288,5.057865118395221,6.106832863844397,2
mglBp,33,1,3.278163694499538,1.3431304074368766,5.3545680724369085,6.558974538426411,1
gyrAp,29,1,3.274803579850837,2.1454308231262194,4.9254562652127465,5.715480847312955,2
galEp1,15,2,3.272413452567938,1.9008892611154575,5.03330983483431,5.98348373542477,2
galEp1,3,1,3.2702371342880796,1.9272567395347318,5.035067774113406,6.011705651386539,2
icdC_predicted,7,2,3.269204537440173,1.705123771057521,5.336554553718331,6.318314985615706,2
tolCp4,18,2,3.2678957477585744,1.3410952264384397,5.439627623706626,6.599253974213855,1
hdeAp2,4,3,3.2665278550888543,1.6110343267929288,5.350389581954152,6.33475969839572,1
ihfAp4,39,1,3.2657470313002497,1.8081017518082017,4.917598509161656,6.091472904850674,2
hdeAp2,9,2,3.2650619165427854,1.429042507279987,5.279906635027776,6.531628926173956,1
galEp1,17,2,3.263510836879624,1.7943150730980282,5.167583035791165,6.134226965580587,2
ihfAp4,2,2,3.261863699457581,1.806088694391229,4.993024136958109,6.129745681698628,2
xylAp,41,1,3.2612466201389783,1.1922896478144096,5.4812253604383905,6.743303733872587,1
gyrAp,36,2,3.2602352285768865,2.29850225315304,4.751077481818216,5.562058887372963,2
galEp1,9,2,3.2567845532802195,1.9089979410815696,4.871009636298296,5.860599664392158,2
galEp1,31,3,3.2547348788141535,1.8540196757713006,4.987856585620384,6.014329589368383,2
xylAp,29,1,3.2515557502358523,1.1881114419039445,5.527017116198538,6.756418319659005,1
ihfAp4,37,1,3.250251313705308,1.9119145872778638,4.941138794051229,5.967513279741081,2
cpxRp2,9,2,3.249507151206649,1.3646452841464212,5.376722745239209,6.568165207292429,1
ompFp,7,1,3.2469066691765507,1.5083386999573505,5.351536984079056,6.437907074190447,1
cpxRp2,33,2,3.2447046844042196,1.278584718317893,5.544138744320943,6.715292633508124,1
araBp,2,1,3.2417250929265484,1.2526743094686055,5.498834016970057,6.726777358350967,1
hdeAp2,2,1,3.2359446719617275,1.4939401995062105,5.28909615417805,6.459999490187002,1
tmaR_predicted,25,1,3.2334894031230785,1.7140503686435271,5.073593667417958,6.154853800500037,2
hdeAp2,10,1,3.2314632597078807,1.541181245326444,5.258901964052884,6.412617438495657,1
gyrAp,9,2,3.230850329735843,2.2689719479999764,4.8813859893128555,5.609582794241919,2
galEp1,8,2,3.2301330204790304,1.9255613871723944,4.813562040536919,5.809418712335351,2
galEp1,40,3,3.228810942167435,1.8706910199393099,5.002527363240247,6.016337382606005,2
hdeAp2,1,1,3.2272220200883814,1.4870740690596502,5.321914485650909,6.4854409150643635,1
xylAp,21,2,3.2269391993571936,1.1911665134797853,5.370745875913833,6.6899891017748585,1
galEp2,23,2,3.224390975256556,1.7546510296623614,5.050889571302818,6.112498180664248,2
galEp2,41,2,3.222681032964826,1.7555457504521117,5.169976469760479,6.189637637812555,2
ihfAp4,30,2,3.22092961058741,1.8709190476997375,4.979202742746819,6.062388609325821,2
ihfAp4,35,1,3.2199347195852748,1.7967901289204573,4.981305893743585,6.119217199757035,2
hdeAp2,38,3,3.2178736011401976,1.6219172579201344,5.319519228097965,6.341232427966197,1
yqjE_yqjK_yqjD_yqjC_predicted,15,2,3.21465616832029,2.164744903012883,4.927727050388157,5.767830794039087,2
cpxRp2,23,1,3.2139724119356403,1.3453206824076944,5.423096986515281,6.59110429535812,1
ghoSp,8,1,3.2134430890032704,1.4544736716880358,5.539242936059795,6.5226731061397025,1
gyrAp,36,1,3.2089269619123804,2.299106059628285,4.818436297692575,5.616189689408437,2
cpxRp2,35,2,3.206486401830014,1.305363124944928,5.484367727062953,6.653264071790047,1
xylAp,32,2,3.1997455761403595,1.222164087039563,5.487447139351285,6.690452219933413,1
cpxRp2,10,2,3.1993229916967008,1.291201454769376,5.49948840984608,6.66276003173789,1
hdeAp2,1,2,3.1989072935287064,1.609749788057118,5.390003267837443,6.397996596189567,1
hdeAp2,32,1,3.198669111045743,1.4847623702480424,5.500908500585544,6.515063544295476,1
ompFp,24,2,3.196604498430513,1.827126181312004,4.998880026997494,5.994800579287006,2
hdeAp2,28,2,3.196349016867438,1.3863321528766488,5.452909506164472,6.586854042545707,1
tolCp4,41,2,3.196278601173292,1.3372619449824088,5.448730868335746,6.5705765092245905,1
ybeDp,11,1,3.195811003611171,2.2072699533575415,4.925326777938331,5.710389895271449,2
galEp2,34,1,3.195534532468968,1.6973405524268887,5.171691990354876,6.221988641817868,2
galEp1,37,1,3.1955105267920527,1.8518483699411001,5.0356118887220385,6.072127331998146,2
ldrDp,8,2,3.1945114295921413,1.2715870167472063,5.575670097095676,6.714926474697906,1
galEp1,32,2,3.193649313253235,1.808555931121482,5.043588960807742,6.050554388223408,2
hdeAp2,40,2,3.187695400764812,1.545924958022705,5.3460097644694455,6.4549036672143245,1
galEp2,41,1,3.1876947363278774,1.7020532659030374,5.179134938959946,6.208760455567014,2
tolCp4,32,2,3.1868456801619702,1.2557765202429094,5.48324771421499,6.655982527383042,1
ompFp,20,1,3.1848192285826507,1.914508539063604,4.831414031369945,5.876815530173001,2
galEp1,28,1,3.184308290228804,1.8308646564930793,5.086994147244177,6.086912775260392,2
ihfAp4,16,1,3.177830605829457,1.7403943793471033,5.0757339019869505,6.223942606221572,2
ompFp,30,2,3.175138882235016,1.8947381280019495,4.788540272741232,5.861846399111807,2
dicCp,28,1,3.1744138955417562,1.927639245247556,4.730866675383376,5.871723494675884,2
dicCp,33,1,3.169072484365047,1.9832519096661119,4.705372377952195,5.785895593074704,2
galEp1,10,1,3.1678820408783652,1.8534071358099278,5.077595049699478,6.101244331707193,2
dicCp,33,2,3.167148065155534,1.9668046820748413,4.741130879247988,5.830316671310511,2
galEp1,18,2,3.1671014127202843,1.8206868116050217,5.02236367607185,6.035098288079254,2
yadE_predicted,23,2,3.165110854355988,1.5754006312000197,5.4255333060209345,6.359615946542157,1
ihfAp4,31,1,3.160227837798255,1.9128779130112075,5.039473911861354,6.05743494303665,2
sulAp,28,2,3.1573037910488746,1.812420115490668,4.909927844972291,5.975379394188016,2
ompFp,23,2,3.1558154293807537,1.5510729939172336,5.448943517712413,6.449818709213985,1
araBp,1,2,3.1534295172742293,1.1078191348496316,5.580072023780196,6.830756731544778,1
hdeAp2,6,2,3.1493487586823106,1.496520253894522,5.348244490855425,6.45669333692565,1
gyrAp,41,1,3.148773922818416,1.9640556016463593,5.025665478486814,5.9120332359572645,2
dicCp,1,2,3.1469497712953207,1.9862439161027008,4.752684045182302,5.7904788282187605,2
dicCp,40,2,3.146015666297149,2.009840378342199,4.751948614574607,5.781787423396656,2
ihfAp4,12,1,3.1450926704610334,1.8565853319807644,4.969947328057095,6.055229135093666,2
galEp1,5,2,3.1410578588844253,1.7743244730308383,5.122788244858204,6.127155838887749,2
dicCp,12,2,3.139542250123576,1.9662048463046506,4.778190732105388,5.835483182487982,2
ybeDp,38,3,3.139266922343372,2.159332614888203,4.912385621786388,5.6891197547968115,2
hdeAp2,23,1,3.1391206489977526,1.4581815156854454,5.366762625990498,6.4985067785247335,1
ybeDp,31,1,3.1371616402735234,2.163124540138344,4.919982250983651,5.752480985391993,2
galEp1,1,2,3.13681453185413,1.7690095816873357,5.13844340657538,6.10861649450499,2
mglBp,25,1,3.1365390319630255,1.1858780151533213,5.596213219790059,6.733535308193799,1
galEp2,23,1,3.135864152952362,1.727506113105175,5.145955197704046,6.136892769060333,2
dicCp,10,2,3.135528996761358,1.9516102803135076,4.757477279604337,5.818099612162092,2
mglBp,33,2,3.1347622970703335,1.285158638983828,5.451866144076418,6.645381123553879,1
galEp2,36,1,3.13239729149011,2.001684039884385,5.203813720833729,5.967520454427937,2
dicCp,21,2,3.131385411278598,1.8893642704291465,4.810652116656577,5.901828292206732,2
tolCp4,2,1,3.128123119979409,1.259119649285017,5.419866391414754,6.627704896011801,1
ihfAp4,33,1,3.1278013300287917,1.8094680928309819,5.017767706560145,6.090580456168707,2
tolCp4,18,1,3.125742494777879,1.369138294584885,5.494247224806665,6.560721030501422,1
mglBp,21,2,3.1246878969918286,1.2369471919409911,5.466216840179895,6.641689812228742,1
yqjE_yqjK_yqjD_yqjC_predicted,36,2,3.1246184727367257,1.882459621719979,5.127951880248622,6.0554998135401155,2
ompFp,17,2,3.1241867651675643,1.7687482383622484,5.127647024404885,6.092538795117403,2
ldrDp,40,1,3.1231689749227023,1.1139627690661125,5.364461102807473,6.751114756606295,1
hdeAp2,12,2,3.122987460097818,1.498300929330525,5.4002297069556064,6.486523982487865,1
yqjE_yqjK_yqjD_yqjC_predicted,14,3,3.1219409859532257,2.1444964775191746,4.92933928200505,5.695734455202935,2
ihfAp4,7,2,3.1217523589186413,1.9157068396011352,5.067260204735885,5.983228851461793,2
galEp2,11,1,3.1216959651271483,1.753374312999028,5.278909855167763,6.20539055048034,2
dicCp,40,1,3.1203102748166467,1.9685789636200235,4.781146739096149,5.803932247938917,2
dicCp,40,3,3.118337788046852,1.9598780197191292,4.7830497552605795,5.812203074304076,2
dicCp,18,2,3.117942774249528,1.9500763098626497,4.794992168296992,5.829949607700208,2
galEp1,32,1,3.1164830794374097,1.6931230014062222,5.148637673703467,6.2017530093536335,2
dicCp,34,1,3.1088683463418496,1.8892476651070613,4.7907094162671955,5.891681464556206,2
dicCp,23,2,3.103882644048991,1.8853416491501407,4.766965193790961,5.878111432403578,2
hdeAp2,35,1,3.1024116717684582,1.4382107957000985,5.450505522034904,6.521466972553993,1
tolCp4,34,2,3.10125699078052,1.3387739307495519,5.459059541660408,6.5379324204630285,1
dicCp,34,2,3.099690508774123,1.9322519596843364,4.8210900923243845,5.8791446786855674,2
kbpp4,29,2,3.0982778723226123,1.2312596927193038,5.405236386258357,6.650725073965134,1
galEp2,21,2,3.096868611400496,1.876715153126628,5.175445293847124,6.061523647524792,2
kbpp4,13,2,3.0949269686285166,1.2046470415823327,5.513318234662668,6.712348600466501,1
galEp1,16,2,3.094579866487718,2.053189170258554,5.091139422994312,5.85787611459026,2
dicCp,14,2,3.0934189782772537,1.938740273415786,4.802242435243573,5.842027827372691,2
dicCp,35,2,3.0928848478307494,1.9438377369885398,4.776175324193763,5.829108310209521,2
furpb,36,1,3.091146966803891,1.6565103404068353,5.1555455115462205,6.1827767153620155,2
dicCp,41,1,3.0907350263754143,1.9385278234801955,4.796339106688106,5.839386405153573,2
dicCp,18,1,3.0852956390164405,1.9270226232444152,4.818878925875223,5.8650360531717665,2
hdeAp2,33,2,3.0833779778329604,1.49725508710513,5.351707678752771,6.454096979298956,1
tolCp4,40,1,3.0824729777457223,1.350561085722816,5.51691962431695,6.575483203727409,1
tolCp4,14,2,3.0819981671559797,1.323065884898967,5.501725334669413,6.601691095308387,1
hdeAp2,28,1,3.0815046118875338,1.3844685126429728,5.406143832354031,6.60585541910652,1
dicCp,13,3,3.0814267567666027,1.9405007184012912,4.8064647616508855,5.854760508974908,2
hdeAp2,11,1,3.0810959939902767,1.517315004594062,5.443790944522288,6.463271133271274,1
gyrAp,23,2,3.0795126909404913,2.069159665108483,4.999954662903649,5.806167653708233,2
dicCp,21,1,3.0780665644697436,1.8833270385327234,4.850684315905527,5.9274301425679745,2
galEp1,11,2,3.0771081093843673,1.8148657563754929,5.163304888406479,6.127105714880657,2
ihfAp4,13,2,3.0753352545912644,1.9627712781121578,5.014554473243993,5.932371019151634,2
xylAp,36,2,3.074717272448119,1.1132849587177782,5.472694409006623,6.7839968062203555,1
hdeAp2,3,1,3.074289855237963,1.3937631582810663,5.426872550942512,6.547191282409036,1
galEp1,28,2,3.0733655617403657,1.7981107825901872,5.216457902779863,6.178027728994241,2
tolCp4,41,1,3.0716019732945896,1.3553208697153167,5.480755525834411,6.538876642969902,1
ftsKp1,13,2,3.0713167716601792,1.775423457224001,5.034109026969913,6.069797754008164,2
dicCp,6,2,3.0703098843239207,1.9429039891320403,4.821198289671771,5.862598061000374,2
yqjE_yqjK_yqjD_yqjC_predicted,16,2,3.0698180178951504,1.9965786150803773,5.125906519789851,5.9036177575418884,2
cpxRp2,1,1,3.0679659017536127,1.1764144428188688,5.602418076965111,6.761389133239808,1
ihfAp4,19,3,3.0661385766613365,1.733146416312452,5.120671980188117,6.1679759779341135,2
